name_Country,Active Cases
South Africa,32546
Algeria,32034
Egypt,30927
Tunisia,26869
Uganda,25044
Ethiopia,22422
Nigeria,20198
Kenya,17549
Mozambique,17541
Malawi,11447
Libya,10801
Lesotho,6432
DR Congo,6304
Morocco,5784
Botswana,5511
Sudan,5499
Ghana,5444
Senegal,4691
South Sudan,3699
Somalia,3335
Western Sahara,2817
Cameroon,2569
Namibia,2270
Zambia,1742
Republic of Congo,1673
Mali,1627
Eswatini,1573
Gabon,1474
Burundi,1441
Rwanda,1400
Sierra Leone,1187
Togo,1185
Benin,1116
Guinea,999
Angola,946
Guinea-Bissau,601
Eritrea,598
Gambia,473
Cabo Verde,410
Sao Tome & Principe,385
Equatorial Guinea,371
Chad,366
Niger,318
Seychelles,312
Tanzania,305
Burkina Faso,299
Madagascar,238
Mauritania,193
Djibouti,126
Comoros,103
Liberia,45
Central African Republic,21
Mauritius,21
Zimbabwe,0
Côte d'Ivoire,-26
null,null
Saint Helena,null
Réunion,null
Mayotte,null
